Date,Beras,Daging Ayam,Daging Sapi,Telur Ayam,Bawang Merah,Bawang Putih,Cabai Merah,Cabai Rawit,Minyak Goreng,Gula Pasir
29/ 01/ 2019,11950.00,33750.00,115800.00,25250.00,31200.00,23950.00,28550.00,32950.00,13150.00,13100.00
30/ 01/ 2019,11950.00,33600.00,115800.00,25450.00,30750.00,24050.00,27750.00,32600.00,13150.00,13100.00
31/ 01/ 2019,11950.00,33500.00,115800.00,25150.00,30700.00,23950.00,27350.00,32000.00,13150.00,13100.00
01/ 02/ 2019,11950.00,33400.00,116350.00,25150.00,30550.00,24050.00,27300.00,32000.00,13150.00,13100.00
04/ 02/ 2019,11950.00,33200.00,116350.00,25150.00,30200.00,24100.00,27300.00,31800.00,13200.00,13050.00
05/ 02/ 2019,11100.00,33850.00,117350.00,22350.00,21400.00,23200.00,17800.00,17050.00,12050.00,12300.00
06/ 02/ 2019,11950.00,33350.00,116350.00,25000.00,29550.00,23950.00,27000.00,31650.00,13200.00,13050.00
07/ 02/ 2019,11900.00,33500.00,116350.00,24950.00,29350.00,24050.00,27050.00,31550.00,13150.00,13050.00
08/ 02/ 2019,11950.00,33650.00,116400.00,24850.00,29200.00,24050.00,27050.00,31600.00,13150.00,13050.00
11/ 02/ 2019,11950.00,33700.00,116300.00,24750.00,29000.00,24950.00,27650.00,31750.00,13150.00,13050.00
12/ 02/ 2019,11950.00,33550.00,116300.00,24700.00,28950.00,25150.00,27500.00,31500.00,13150.00,13050.00
13/ 02/ 2019,11950.00,33600.00,116350.00,24650.00,28950.00,25200.00,27450.00,31550.00,13150.00,13050.00
14/ 02/ 2019,11950.00,33500.00,116350.00,24600.00,28950.00,25350.00,27450.00,31400.00,13150.00,13050.00
15/ 02/ 2019,11950.00,33450.00,116350.00,24550.00,28800.00,25450.00,27350.00,31250.00,13150.00,13050.00
18/ 02/ 2019,11950.00,33350.00,116350.00,24400.00,28600.00,25800.00,27450.00,31500.00,13150.00,13050.00
